post_id,source_id,source,text,label
514,-197559013,VK,"Заделать 10 таких отверстий, (примерно метров по 10 в каждой квартире) подготовить к заливке полов, пишите цену за работу, оплата желательно безнал!",
6259,-1001409716498,TG,"Нужно много людей оплата  1250

Читайте внимательно!


На сегодня 26.07

С 14:00 до 20:00 4 человека
.
Командорская 5/2
.
Немного поменяли формат работы: теперь вы выбираете как вам работать с нами, как вам будет удобно. Вариант первый: приходите фоткаемся, записываем видосы, вы ждёте, полтора два часа ( это время вы свободны, можете погулять сходить), после чего приходите мы делаем 3д скан, занимает он 20-30 минут, после чего получаете деньги. Суммарное время: примерно 3 часа

Вариант второй: приходите я вас фоткаю (занимает минут 5-10), и вы идёте домой, после договариваемся о времени, когда всем будет удобно (это может быть и на следующий день и через день), в оговоренное время приходите на 3д скан, после которого я выплачиваю деньги. Суммарное время: 40-60 минут

Пример: вы перед работой забежали к нам, сфоткались, отработали, зашли к нам на пол часа и получили деньги.


Знакомые айтишники делают нейронку, ее нужно обучать на фотках людей, нужно пофотографироваться. Сразу мне в лс селфи нужно будет скинуть
Оплата 1250, наличкой сразу в руки или переводом.
.
.
.
ТОЛЬКО ТЕ КТО НЕ СОЛЬЁТСЯ, НЕ КИНЕТ В ИГНОР, НЕ БУДЕТ УДАЛЯТЬ ЧАТ У ОБОИХ, ЛУЧШЕ ПРОСТО ПРЕДУПРЕДИТЬ, ЧТО НЕ МОЖЕТЕ!!!
.
.
.
Возможно придётся через несколько дней придти повторно, там на 10-15 минут когда удобно будет, оплата 500
.
.
‼️БОНУС‼️ приведи друга, получи 250 рублей (количество друзей не ограничено)",
7398,-1002762558087,TG,"Ул. Домбайская 11
В самое ближайшее время
Ещё 1 человек
Задача: Носите кирпич помощь мастерам
Оплата 3200/8",
155,-183322855,VK,"Вот эту всю делюгу надо починить, цена?",
7642,-1001503637616,TG,"Требуется грузчик на завтра к 09:00

Объем: погруз-разруз промышленных товаров 

Адрес: Промышленный проезд 10

Оплата: 2 800 руб - за 8 часов 

Оплата в конце смены

Обращаться в личку или в ватсап по номеру ТОЛЬКО СМС 89528788106",
2999,-183322855,VK,Сделать датчик регулировки температуры в духовке (слетел или отсоединился...) цена работы?,
9146,-1002881593549,TG,"Всем доброе утро ✌️. 
Нужен грузчик на склад оконных профилей. График работы 5/2, выплаты 2 раза в месяц. 70к зп. Адрес кирпичная 12А. Официально/неофициально. По всем вопросам в лс. Всем хорошего дня 👋",
682,-1001503637616,TG,600/2,
815,-133016868,VK,"Нужно убрать ворота,разбить проем толщина 300мм и после сделать обойму из уголка 75 .какая цена",
5912,-1001233979517,TG,"Соли меф  магниты недорого, сам курьер Яндекса, подколымливаю, отдам дёшево",
